"analysis_id","direction","analysis_family","evidence_level","apoe_status","heterogeneity_status","egger_status","mr_presso_status","loo_status","single_snp_status","steiger_status"
"forward_primary_apoe_included","Hb_to_delirium","forward_primary","primary","APOE_included","completed","completed","passed","completed","not_run_not_primary_diagnostic","not_estimable_due_to_variant_level_Hb_N_unavailability"
"forward_primary_apoe_excluded","Hb_to_delirium","forward_primary","apoe_exclusion_sensitivity","APOE_excluded","completed","completed","passed","completed","not_run_not_primary_diagnostic","not_estimable_due_to_variant_level_Hb_N_unavailability"
"chen_forward_included","Hb_to_delirium","forward_alternative_hb_gwas","alternative_hb_gwas_sensitivity","APOE_included","completed","completed","technically_unavailable_under_frozen_configuration","completed","not_run_method_alignment_amendment","completed_in_unified_steiger_v1_freeze"
"chen_forward_excluded","Hb_to_delirium","forward_alternative_hb_gwas","alternative_hb_gwas_apoe_exclusion_sensitivity","APOE_excluded","completed","completed","technically_unavailable_under_frozen_configuration","completed","not_run_method_alignment_amendment","completed_in_unified_steiger_v1_freeze"
"reverse_strict_included","delirium_to_Hb","reverse_strict_primary","primary_reverse_strict","APOE_included","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","wald_ratio_is_formal_single_snp_estimate","not_estimable_due_to_variant_level_Hb_N_unavailability"
"reverse_strict_excluded","delirium_to_Hb","reverse_strict_primary","primary_reverse_strict_apoe_exclusion_sensitivity","APOE_excluded","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","wald_ratio_is_formal_single_snp_estimate","not_estimable_due_to_variant_level_Hb_N_unavailability"
"reverse_relaxed_included","delirium_to_Hb","reverse_relaxed_exploratory","exploratory_relaxed_reverse","APOE_included","completed","completed_limited_number_of_instruments","passed","completed","completed_diagnostic_only","not_estimable_due_to_variant_level_Hb_N_unavailability"
"reverse_relaxed_excluded","delirium_to_Hb","reverse_relaxed_exploratory","exploratory_relaxed_reverse_apoe_exclusion_sensitivity","APOE_excluded","completed","completed_limited_number_of_instruments","passed","completed_nominal_significance_sensitive","completed_diagnostic_only","not_estimable_due_to_variant_level_Hb_N_unavailability"
"chen_reverse_strict_included","delirium_to_Hb","reverse_alternative_hb_outcome_strict","alternative_hb_outcome_sensitivity_strict","APOE_included","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","wald_ratio_is_formal_single_snp_estimate","completed_in_unified_steiger_v1_freeze"
"chen_reverse_strict_excluded","delirium_to_Hb","reverse_alternative_hb_outcome_strict","alternative_hb_outcome_sensitivity_strict_apoe_exclusion","APOE_excluded","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","wald_ratio_is_formal_single_snp_estimate","completed_in_unified_steiger_v1_freeze"
"chen_reverse_relaxed_included","delirium_to_Hb","reverse_alternative_hb_outcome_relaxed","alternative_hb_outcome_sensitivity_relaxed_exploratory","APOE_included","completed","completed_limited_number_of_instruments","passed","completed","completed_diagnostic_only","completed_in_unified_steiger_v1_freeze"
"chen_reverse_relaxed_excluded","delirium_to_Hb","reverse_alternative_hb_outcome_relaxed","alternative_hb_outcome_sensitivity_relaxed_exploratory_apoe_exclusion","APOE_excluded","completed","completed_limited_number_of_instruments","passed","completed","completed_diagnostic_only","completed_in_unified_steiger_v1_freeze"
