"analysis_id","direction","analysis_family","evidence_level","apoe_status","exposure_source","outcome_source","instrument_threshold","input_freeze_decision","analysis_contract_decision","execution_decision","results_freeze_decision","nsnp","primary_estimator","primary_beta","primary_se","primary_ci_lower","primary_ci_upper","primary_p","effect_scale","nominal_p_lt_0_05","heterogeneity_status","egger_status","mr_presso_status","loo_status","single_snp_status","steiger_status","scientific_role","authoritative"
"forward_primary_apoe_included","Hb_to_delirium","forward_primary","primary","APOE_included","Vuckovic 2020 haemoglobin","FinnGen R13 delirium","P<5e-8","37","","35","37","312","Inverse variance weighted","0.0668439888152973","0.0549639338370062","-0.0408853215052349","0.174573299135829","0.223930553634442","log_odds_delirium_per_1_unit_genetically_predicted_standardized_Hb","FALSE","completed","completed","passed","completed","not_run_not_primary_diagnostic","not_estimable_due_to_variant_level_Hb_N_unavailability","primary_forward_mr","TRUE"
"forward_primary_apoe_excluded","Hb_to_delirium","forward_primary","apoe_exclusion_sensitivity","APOE_excluded","Vuckovic 2020 haemoglobin","FinnGen R13 delirium","P<5e-8","37","","35","37","312","Inverse variance weighted","0.0668673972014199","0.0551668566775348","-0.0412596418865482","0.174994436289388","0.225476530500178","log_odds_delirium_per_1_unit_genetically_predicted_standardized_Hb","FALSE","completed","completed","passed","completed","not_run_not_primary_diagnostic","not_estimable_due_to_variant_level_Hb_N_unavailability","forward_apoe_sensitivity","TRUE"
"chen_forward_included","Hb_to_delirium","forward_alternative_hb_gwas","alternative_hb_gwas_sensitivity","APOE_included","Chen 2020 European haemoglobin","FinnGen R13 delirium","P<5e-8","94","99","100","103","380","Inverse variance weighted","0.0159190391355801","0.0567365165834694","-0.0952845333680199","0.12712261163918","0.779033810895816","log_odds_delirium_per_1_unit_genetically_predicted_standardized_Hb","FALSE","completed","completed","technically_unavailable_under_frozen_configuration","completed","not_run_method_alignment_amendment","completed_in_unified_steiger_v1_freeze","forward_alternative_hb_gwas_sensitivity","TRUE"
"chen_forward_excluded","Hb_to_delirium","forward_alternative_hb_gwas","alternative_hb_gwas_apoe_exclusion_sensitivity","APOE_excluded","Chen 2020 European haemoglobin","FinnGen R13 delirium","P<5e-8","94","99","100","103","380","Inverse variance weighted","0.0098041549333851","0.0570592140416846","-0.102031904588317","0.121640214455087","0.863575724074543","log_odds_delirium_per_1_unit_genetically_predicted_standardized_Hb","FALSE","completed","completed","technically_unavailable_under_frozen_configuration","completed","not_run_method_alignment_amendment","completed_in_unified_steiger_v1_freeze","forward_alternative_hb_gwas_sensitivity","TRUE"
"reverse_strict_included","delirium_to_Hb","reverse_strict_primary","primary_reverse_strict","APOE_included","FinnGen R13 delirium","Vuckovic 2020 haemoglobin","P<5e-8","56","73","74","75","1","Wald ratio","-0.00939319931632509","0.00578295281702288","-0.0207277868376899","0.00194138820503975","0.104313676483474","standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","FALSE","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","wald_ratio_is_formal_single_snp_estimate","not_estimable_due_to_variant_level_Hb_N_unavailability","primary_reverse_strict_mr","TRUE"
"reverse_strict_excluded","delirium_to_Hb","reverse_strict_primary","primary_reverse_strict_apoe_exclusion_sensitivity","APOE_excluded","FinnGen R13 delirium","Vuckovic 2020 haemoglobin","P<5e-8","56","73","74","75","1","Wald ratio","0.0307698675251956","0.0539947908813817","-0.0750599226023125","0.136599657652704","0.568767682080464","standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","FALSE","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","wald_ratio_is_formal_single_snp_estimate","not_estimable_due_to_variant_level_Hb_N_unavailability","primary_reverse_strict_mr","TRUE"
"reverse_relaxed_included","delirium_to_Hb","reverse_relaxed_exploratory","exploratory_relaxed_reverse","APOE_included","FinnGen R13 delirium","Vuckovic 2020 haemoglobin","P<5e-6","71","72","76","77","10","Inverse variance weighted","-0.000560472845259953","0.00562132164350593","-0.0115782632665316","0.0104573175760117","0.920578676260158","standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","FALSE","completed","completed_limited_number_of_instruments","passed","completed","completed_diagnostic_only","not_estimable_due_to_variant_level_Hb_N_unavailability","exploratory_reverse_relaxed_mr","TRUE"
"reverse_relaxed_excluded","delirium_to_Hb","reverse_relaxed_exploratory","exploratory_relaxed_reverse_apoe_exclusion_sensitivity","APOE_excluded","FinnGen R13 delirium","Vuckovic 2020 haemoglobin","P<5e-6","71","72","76","77","9","Inverse variance weighted","0.0145566066936854","0.00710015149028112","0.000640309772734379","0.0284729036146364","0.0403466200965387","standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","TRUE","completed","completed_limited_number_of_instruments","passed","completed_nominal_significance_sensitive","completed_diagnostic_only","not_estimable_due_to_variant_level_Hb_N_unavailability","exploratory_reverse_relaxed_mr","TRUE"
"chen_reverse_strict_included","delirium_to_Hb","reverse_alternative_hb_outcome_strict","alternative_hb_outcome_sensitivity_strict","APOE_included","FinnGen R13 delirium","Chen 2020 European haemoglobin","P<5e-8","116","117","118","119","1","Wald ratio","-0.00477670801122732","0.00502563780910417","-0.0146269581170715","0.00507354209461684","0.34187449669561","standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","FALSE","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","wald_ratio_is_formal_single_snp_estimate","completed_in_unified_steiger_v1_freeze","reverse_strict_alternative_hb_outcome_sensitivity","TRUE"
"chen_reverse_strict_excluded","delirium_to_Hb","reverse_alternative_hb_outcome_strict","alternative_hb_outcome_sensitivity_strict_apoe_exclusion","APOE_excluded","FinnGen R13 delirium","Chen 2020 European haemoglobin","P<5e-8","116","117","118","119","1","Wald ratio","0.0140604813556716","0.0447653088073129","-0.0736795239066616","0.101800486618005","0.75345021560405","standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","FALSE","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","not_applicable_single_instrument","wald_ratio_is_formal_single_snp_estimate","completed_in_unified_steiger_v1_freeze","reverse_strict_alternative_hb_outcome_sensitivity","TRUE"
