"analysis_set","analysis_role","method","method_id","nsnp","beta","se","ci_lower","ci_upper","pval","OR","OR_ci_lower","OR_ci_upper","effect_scale","nominal_p_lt_0_05","estimator_hierarchy_role"
"APOE_included","chen_forward_alternative_hb_gwas_sensitivity_main","Inverse variance weighted","mr_ivw",380,0.0159190391355801,0.0567365165834694,-0.0952845333680199,0.12712261163918,0.779033810895816,1.01604642207946,0.90911422433198,1.13555624165825,"per 1-unit increase in genetically predicted standardized Chen Hb scale",FALSE,"primary"
"APOE_included","chen_forward_alternative_hb_gwas_sensitivity_main","MR Egger","mr_egger_regression",380,0.00734273269990761,0.11968968791994,-0.227249055623175,0.24193452102299,0.951114423010659,1.00736975666442,0.796722329402015,1.27371078880616,"per 1-unit increase in genetically predicted standardized Chen Hb scale",FALSE,"sensitivity"
"APOE_included","chen_forward_alternative_hb_gwas_sensitivity_main","Weighted median","mr_weighted_median",380,-0.0173956274926297,0.0992419521780226,-0.211909853761554,0.177118598776295,0.860855682483607,0.982754802895289,0.809037625978083,1.19377266470907,"per 1-unit increase in genetically predicted standardized Chen Hb scale",FALSE,"sensitivity"
"APOE_included","chen_forward_alternative_hb_gwas_sensitivity_main","Simple mode","mr_simple_mode",380,0.000321495768624835,0.255106060882833,-0.499686383561728,0.500329375098978,0.998995134450837,1.00032154745393,0.606720907528697,1.64926440787487,"per 1-unit increase in genetically predicted standardized Chen Hb scale",FALSE,"sensitivity"
"APOE_included","chen_forward_alternative_hb_gwas_sensitivity_main","Weighted mode","mr_weighted_mode",380,-0.022309121813576,0.145388857701129,-0.307271282907788,0.262653039280636,0.878129413561601,0.977937886389329,0.735451058540563,1.30037546146639,"per 1-unit increase in genetically predicted standardized Chen Hb scale",FALSE,"sensitivity"
"APOE_excluded","chen_forward_alternative_hb_gwas_apoe_exclusion_sensitivity","Inverse variance weighted","mr_ivw",380,0.0098041549333851,0.0570592140416846,-0.102031904588317,0.121640214455087,0.863575724074543,1.00985237311103,0.903000741342386,1.12934770569729,"per 1-unit increase in genetically predicted standardized Chen Hb scale",FALSE,"primary"
"APOE_excluded","chen_forward_alternative_hb_gwas_apoe_exclusion_sensitivity","MR Egger","mr_egger_regression",380,0.0271109460353318,0.120231306139325,-0.208542413997746,0.26276430606841,0.821720037021505,1.02748179147121,0.811766603705471,1.3005201581167,"per 1-unit increase in genetically predicted standardized Chen Hb scale",FALSE,"sensitivity"
"APOE_excluded","chen_forward_alternative_hb_gwas_apoe_exclusion_sensitivity","Weighted median","mr_weighted_median",380,-0.0173313475549924,0.0970446759162572,-0.207538912350857,0.172876217240872,0.858258523288624,0.982817976343103,0.812581621696733,1.18871895306494,"per 1-unit increase in genetically predicted standardized Chen Hb scale",FALSE,"sensitivity"
"APOE_excluded","chen_forward_alternative_hb_gwas_apoe_exclusion_sensitivity","Simple mode","mr_simple_mode",380,0.000185388635674855,0.237879852239175,-0.466059121753108,0.466429899024458,0.999378588920736,1.00018540582121,0.627470185813287,1.59429223672376,"per 1-unit increase in genetically predicted standardized Chen Hb scale",FALSE,"sensitivity"
"APOE_excluded","chen_forward_alternative_hb_gwas_apoe_exclusion_sensitivity","Weighted mode","mr_weighted_mode",380,-0.0224754749760701,0.134176509837853,-0.285461434258261,0.240510484306121,0.867060655221699,0.977775216859876,0.751667329227456,1.2718982687301,"per 1-unit increase in genetically predicted standardized Chen Hb scale",FALSE,"sensitivity"
