"comparison_domain","analysis_set","method","method_id","chen_value","vuckovic_value","chen_pval","vuckovic_pval","direction_consistent","nominal_significance_pattern","notes"
"estimator","APOE_included","Inverse variance weighted","mr_ivw",0.0159190391355801,0.0668439888152973,0.779033810895816,0.223930553634442,TRUE,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_audit_only_no_meta_analysis_no_difference_test"
"estimator","APOE_included","MR Egger","mr_egger_regression",0.00734273269990761,-0.0110018807519385,0.951114423010659,0.917892850063629,FALSE,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_audit_only_no_meta_analysis_no_difference_test"
"estimator","APOE_included","Weighted median","mr_weighted_median",-0.0173956274926297,0.0343215082978287,0.860855682483607,0.715905419812207,FALSE,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_audit_only_no_meta_analysis_no_difference_test"
"estimator","APOE_included","Simple mode","mr_simple_mode",0.000321495768624835,-0.0387345048521022,0.998995134450837,0.865049640833186,FALSE,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_audit_only_no_meta_analysis_no_difference_test"
"estimator","APOE_included","Weighted mode","mr_weighted_mode",-0.022309121813576,0.0103998853015543,0.878129413561601,0.933018237703235,FALSE,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_audit_only_no_meta_analysis_no_difference_test"
"estimator","APOE_excluded","Inverse variance weighted","mr_ivw",0.0098041549333851,0.0668673972014199,0.863575724074543,0.225476530500178,TRUE,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_audit_only_no_meta_analysis_no_difference_test"
"estimator","APOE_excluded","MR Egger","mr_egger_regression",0.0271109460353318,-0.0118408323444155,0.821720037021505,0.911846268538893,FALSE,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_audit_only_no_meta_analysis_no_difference_test"
"estimator","APOE_excluded","Weighted median","mr_weighted_median",-0.0173313475549924,0.0368463360282844,0.858258523288624,0.709129484508448,FALSE,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_audit_only_no_meta_analysis_no_difference_test"
"estimator","APOE_excluded","Simple mode","mr_simple_mode",0.000185388635674855,-0.0418186610592208,0.999378588920736,0.84528526038045,FALSE,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_audit_only_no_meta_analysis_no_difference_test"
"estimator","APOE_excluded","Weighted mode","mr_weighted_mode",-0.0224754749760701,-0.0115043014036722,0.867060655221699,0.923059315400545,TRUE,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_audit_only_no_meta_analysis_no_difference_test"
"heterogeneity_Q","APOE_included","MR Egger","mr_egger_regression",383.64012658648,319.413860400406,0.409691941725104,0.344202630410037,,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_diagnostic_comparison_only"
"heterogeneity_Q","APOE_included","Inverse variance weighted","mr_ivw",383.646852991433,320.161868124385,0.423757817984637,0.348090503520771,,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_diagnostic_comparison_only"
"heterogeneity_Q","APOE_excluded","MR Egger","mr_egger_regression",387.256887943161,320.641256643693,0.36011158514961,0.326618014011222,,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_diagnostic_comparison_only"
"heterogeneity_Q","APOE_excluded","Inverse variance weighted","mr_ivw",387.284307146366,321.406396528558,0.373382291417006,0.330202310452076,,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_diagnostic_comparison_only"
"egger_intercept","APOE_included","Egger intercept","",0.000213812073724491,0.00225282472588187,0.935159336102649,0.394852871860693,TRUE,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_diagnostic_comparison_only"
"egger_intercept","APOE_excluded","Egger intercept","",-0.000430965344328533,0.00227847295994359,0.870136312578844,0.39040663768258,FALSE,"chen_p_ge_0_05__vuckovic_p_ge_0_05","interpretive_diagnostic_comparison_only"
"mr_presso_global","APOE_included","MR-PRESSO Global Test","",,322.26409099497,,0.3446,,"chen_mr_presso_not_estimable__vuckovic_mr_presso_available","interpretive_diagnostic_comparison_only; chen_mr_presso_status=failed_or_timeout; reached elapsed time limit"
"mr_presso_global","APOE_excluded","MR-PRESSO Global Test","",,323.516113849629,,0.3257,,"chen_mr_presso_not_estimable__vuckovic_mr_presso_available","interpretive_diagnostic_comparison_only; chen_mr_presso_status=failed_or_timeout; reached elapsed time limit"
"loo_max_absolute_shift","APOE_excluded","IVW leave-one-out","mr_ivw",0.02159780878053,0.0184957082487421,,,,"chen_any_nominal_change_FALSE__vuckovic_any_nominal_change_FALSE","interpretive_diagnostic_comparison_only; chen_max_shift_rsid=rs550057; vuckovic_max_shift_rsid=rs2519093; not independent replication"
"loo_max_absolute_shift","APOE_included","IVW leave-one-out","mr_ivw",0.021761223983194,0.0184281909514189,,,,"chen_any_nominal_change_FALSE__vuckovic_any_nominal_change_FALSE","interpretive_diagnostic_comparison_only; chen_max_shift_rsid=rs550057; vuckovic_max_shift_rsid=rs2519093; not independent replication"
