"analysis_set","analysis_role","method","method_id","nsnp","beta","se","pval","ci_lower","ci_upper","beta_doubling","se_doubling","ci_lower_doubling","ci_upper_doubling","pval_doubling","effect_scale","estimator_hierarchy_role","nominal_p_lt_0_05"
"relaxed_apoe_included","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","Inverse variance weighted","mr_ivw",10,0.000224259476291295,0.00426599660323174,0.958075261027888,-0.00813709386604292,0.00858561281862551,0.000155444823705161,0.00295696351780839,-0.00564020367119927,0.0059510933186096,0.958075261027888,"standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","exploratory_branch_primary_estimator",FALSE
"relaxed_apoe_included","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","Weighted median","mr_weighted_median",10,-0.00205723842549143,0.00477126214956046,0.666342735190664,-0.0114089122386299,0.00729443538764707,-0.00142596901436897,0.00330718690668022,-0.0079080553514622,0.00505611732272426,0.666342735190664,"standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","robust_sensitivity_estimator",FALSE
"relaxed_apoe_included","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","MR Egger","mr_egger_regression",10,-0.0017937905128561,0.00798013573082076,0.827784060007524,-0.0174348565452648,0.0138472755195526,-0.00124336083650138,0.00553140858230409,-0.0120849216578174,0.00959819998481463,0.827784060007524,"standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","directional_pleiotropy_sensitivity_estimator",FALSE
"relaxed_apoe_included","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","Weighted mode","mr_weighted_mode",10,-0.0037321315092193,0.00481304024175044,0.457980624819619,-0.0131656903830502,0.00570142736461157,-0.00258691643309429,0.00333614527349088,-0.00912576116913641,0.00395192830294783,0.457980624819619,"standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","supportive_sensitivity_estimator",FALSE
"relaxed_apoe_included","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","Simple mode","mr_simple_mode",10,0.0127156668561345,0.0112359983416986,0.287016261421706,-0.00930688989359471,0.0347382236058637,0.00881382863026916,0.00778820057132458,-0.00645104448952702,0.0240787017500653,0.287016261421706,"standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","supportive_sensitivity_estimator",FALSE
"relaxed_apoe_excluded","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","Inverse variance weighted","mr_ivw",9,0.00895563884758977,0.00624914916868564,0.151830030813889,-0.00329269352303409,0.0212039712182136,0.00620757581731997,0.00433158012717298,-0.00228232123193907,0.014697472866579,0.151830030813889,"standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","exploratory_branch_primary_estimator",FALSE
"relaxed_apoe_excluded","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","Weighted median","mr_weighted_median",9,0.0143024521983444,0.00810890953965702,0.0777665391561038,-0.00159101049938338,0.0301959148960722,0.0099137044163758,0.00562066778482891,-0.00110280444188886,0.0209302132746405,0.0777665391561038,"standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","robust_sensitivity_estimator",FALSE
"relaxed_apoe_excluded","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","MR Egger","mr_egger_regression",9,0.0211235436015218,0.0136395078453525,0.16538226604931,-0.00560989177536897,0.0478569789784127,0.0146417246908299,0.00945418640723131,-0.00388848066734342,0.0331719300490033,0.16538226604931,"standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","directional_pleiotropy_sensitivity_estimator",FALSE
"relaxed_apoe_excluded","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","Weighted mode","mr_weighted_mode",9,0.0147396052790588,0.0114234269155314,0.232990255581735,-0.0076503114753828,0.0371295220335004,0.0102167158417461,0.0079181161588332,-0.00530279182956698,0.0257362235130592,0.232990255581735,"standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","supportive_sensitivity_estimator",FALSE
"relaxed_apoe_excluded","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","Simple mode","mr_simple_mode",9,0.0147396052790588,0.0127867946838511,0.282302887540479,-0.0103225123012894,0.039801722859407,0.0102167158417461,0.0088631306835103,-0.00715502029793409,0.0275884519814263,0.282302887540479,"standardized_quantitative_Hb_per_1_unit_genetically_predicted_log_odds_delirium","supportive_sensitivity_estimator",FALSE
