"comparison_domain","analysis_set","method","vuckovic_value","chen_value","vuckovic_ci","chen_ci","vuckovic_pval","chen_pval","direction_consistent","independent_replication","formal_meta_analysis","difference_test_performed","notes"
"strict_included","included","Wald ratio",-0.0094,-0.00477670801122732,"-0.0207;0.0019","-0.0146269581170715;0.00507354209461684",0.1043,0.34187449669561,TRUE,FALSE,FALSE,FALSE,"same_exposure_rsid=TRUE"
"strict_excluded","excluded","Wald ratio",0.0308,0.0140604813556716,"-0.0751;0.1366","-0.0736795239066616;0.101800486618005",0.5688,0.75345021560405,TRUE,FALSE,FALSE,FALSE,"same_exposure_rsid=TRUE"
"relaxed_estimator","relaxed_apoe_included","Inverse variance weighted",-0.0006,0.000224259476291295,"-0.0116;0.0105","-0.00813709386604292;0.00858561281862551",0.9206,0.958075261027888,FALSE,FALSE,FALSE,FALSE,"vuckovic_set=APOE_included; hierarchy_role=exploratory_branch_primary_estimator"
"relaxed_estimator","relaxed_apoe_included","Weighted median",-0.0042,-0.00205723842549143,"-0.0151;0.0066","-0.0114089122386299;0.00729443538764707",0.4421,0.666342735190664,TRUE,FALSE,FALSE,FALSE,"vuckovic_set=APOE_included; hierarchy_role=robust_sensitivity_estimator"
"relaxed_estimator","relaxed_apoe_included","MR Egger",-0.0054,-0.0017937905128561,"-0.0258;0.0149","-0.0174348565452648;0.0138472755195526",0.6157,0.827784060007524,TRUE,FALSE,FALSE,FALSE,"vuckovic_set=APOE_included; hierarchy_role=directional_pleiotropy_sensitivity_estimator"
"relaxed_estimator","relaxed_apoe_included","Weighted mode",-0.0086,-0.0037321315092193,"-0.0197;0.0025","-0.0131656903830502;0.00570142736461157",0.1646,0.457980624819619,TRUE,FALSE,FALSE,FALSE,"vuckovic_set=APOE_included; hierarchy_role=supportive_sensitivity_estimator"
"relaxed_estimator","relaxed_apoe_included","Simple mode",0.0151,0.0127156668561345,"-0.0134;0.0437","-0.00930688989359471;0.0347382236058637",0.3261,0.287016261421706,TRUE,FALSE,FALSE,FALSE,"vuckovic_set=APOE_included; hierarchy_role=supportive_sensitivity_estimator"
"relaxed_estimator","relaxed_apoe_excluded","Inverse variance weighted",0.0146,0.00895563884758977,"6e-04;0.0285","-0.00329269352303409;0.0212039712182136",0.0403,0.151830030813889,TRUE,FALSE,FALSE,FALSE,"vuckovic_set=APOE_excluded; hierarchy_role=exploratory_branch_primary_estimator"
"relaxed_estimator","relaxed_apoe_excluded","Weighted median",0.0188,0.0143024521983444,"-9e-04;0.0384","-0.00159101049938338;0.0301959148960722",0.0609,0.0777665391561038,TRUE,FALSE,FALSE,FALSE,"vuckovic_set=APOE_excluded; hierarchy_role=robust_sensitivity_estimator"
"relaxed_estimator","relaxed_apoe_excluded","MR Egger",0.0312,0.0211235436015218,"0.001;0.0613","-0.00560989177536897;0.0478569789784127",0.0826,0.16538226604931,TRUE,FALSE,FALSE,FALSE,"vuckovic_set=APOE_excluded; hierarchy_role=directional_pleiotropy_sensitivity_estimator"
"relaxed_estimator","relaxed_apoe_excluded","Weighted mode",0.0186,0.0147396052790588,"-0.0076;0.0449","-0.0076503114753828;0.0371295220335004",0.2009,0.232990255581735,TRUE,FALSE,FALSE,FALSE,"vuckovic_set=APOE_excluded; hierarchy_role=supportive_sensitivity_estimator"
"relaxed_estimator","relaxed_apoe_excluded","Simple mode",0.0199,0.0147396052790588,"-0.0074;0.0473","-0.0103225123012894;0.039801722859407",0.191,0.282302887540479,TRUE,FALSE,FALSE,FALSE,"vuckovic_set=APOE_excluded; hierarchy_role=supportive_sensitivity_estimator"
"instrument_set_overlap","strict_included","rsid_set",1,1,"","",,,,FALSE,FALSE,FALSE,"same_final_rsid_set=TRUE; shared_n=1; vuckovic_only_n=0; chen_only_n=0"
"instrument_set_overlap","strict_excluded","rsid_set",1,1,"","",,,,FALSE,FALSE,FALSE,"same_final_rsid_set=TRUE; shared_n=1; vuckovic_only_n=0; chen_only_n=0"
"instrument_set_overlap","relaxed_included","rsid_set",10,10,"","",,,,FALSE,FALSE,FALSE,"same_final_rsid_set=TRUE; shared_n=10; vuckovic_only_n=0; chen_only_n=0"
"instrument_set_overlap","relaxed_excluded","rsid_set",9,9,"","",,,,FALSE,FALSE,FALSE,"same_final_rsid_set=TRUE; shared_n=9; vuckovic_only_n=0; chen_only_n=0"
"diagnostic_pattern","relaxed_apoe_included","diagnostics",,,"","",,,,FALSE,FALSE,FALSE,"chen_heterogeneity_any_p_lt_0.05=FALSE; chen_egger_intercept_p=0.767294791087545; chen_presso_status=passed; chen_loo_max_shift_rsid=rs429358; chen_single_max_abs_rsid=rs2049903"
"diagnostic_pattern","relaxed_apoe_excluded","diagnostics",,,"","",,,,FALSE,FALSE,FALSE,"chen_heterogeneity_any_p_lt_0.05=FALSE; chen_egger_intercept_p=0.348974293859074; chen_presso_status=passed; chen_loo_max_shift_rsid=rs11667884; chen_single_max_abs_rsid=rs2049903"
