"analysis_set","analysis_role","method","method_id","nsnp","beta_raw","se_raw","ci_lower_raw","ci_upper_raw","pval","beta_per_doubling_odds","se_per_doubling_odds","ci_lower_per_doubling","ci_upper_per_doubling","effect_scale_secondary","estimator_hierarchy_role"
"APOE_included","reverse_relaxed_exploratory_main","Inverse variance weighted","mr_ivw",10,-0.000560472845259953,0.00562132164350593,-0.0115782632665316,0.0104573175760117,0.920578676260158,-0.000388490172472347,0.00389640324821673,-0.00802544053897715,0.00724846019403245,"SD_Hb_per_doubling_of_genetically_predicted_odds_of_delirium","exploratory_branch_primary_estimator"
"APOE_included","reverse_relaxed_exploratory_main","Weighted median","mr_weighted_median",10,-0.00424097196757503,0.00551750502207566,-0.0150552818108433,0.00657333787569326,0.442107385559609,-0.00293961776215839,0.00382444304977708,-0.0104355261397215,0.00455629061540468,"SD_Hb_per_doubling_of_genetically_predicted_odds_of_delirium","robust_sensitivity_estimator"
"APOE_included","reverse_relaxed_exploratory_main","MR Egger","mr_egger_regression",10,-0.00542179997490411,0.010383179631501,-0.0257728320526462,0.0149292321028379,0.615697245727216,-0.00375810536616476,0.0071970716868224,-0.0178643658723367,0.0103481551400071,"SD_Hb_per_doubling_of_genetically_predicted_odds_of_delirium","directional_pleiotropy_sensitivity_estimator"
"APOE_included","reverse_relaxed_exploratory_main","Weighted mode","mr_weighted_mode",10,-0.00859343036202256,0.00568054144948893,-0.0197272916030209,0.00254043087897574,0.164627330700907,-0.00595651202677417,0.00393745128976715,-0.0136739165547178,0.00176089250116946,"SD_Hb_per_doubling_of_genetically_predicted_odds_of_delirium","supportive_sensitivity_estimator"
"APOE_included","reverse_relaxed_exploratory_main","Simple mode","mr_simple_mode",10,0.0151437263094131,0.0145800796512198,-0.0134332298069777,0.0437206824258038,0.32606208323564,0.0104968311945411,0.0101061411025824,-0.00931120536652041,0.0303048677556027,"SD_Hb_per_doubling_of_genetically_predicted_odds_of_delirium","supportive_sensitivity_estimator"
"APOE_excluded","reverse_relaxed_apoe_exclusion_sensitivity","Inverse variance weighted","mr_ivw",9,0.0145566066936854,0.00710015149028112,0.000640309772734379,0.0284729036146364,0.0403466200965387,0.010089870888248,0.00492144998703685,0.000443828913655814,0.0197359128628403,"SD_Hb_per_doubling_of_genetically_predicted_odds_of_delirium","exploratory_branch_primary_estimator"
"APOE_excluded","reverse_relaxed_apoe_exclusion_sensitivity","Weighted median","mr_weighted_median",9,0.0187509696902551,0.0100030325354706,-0.000854974079267209,0.0383569134597775,0.0608576160692496,0.0129971817735653,0.00693357379901083,-0.000592622872495901,0.0265869864196266,"SD_Hb_per_doubling_of_genetically_predicted_odds_of_delirium","robust_sensitivity_estimator"
"APOE_excluded","reverse_relaxed_apoe_exclusion_sensitivity","MR Egger","mr_egger_regression",9,0.031152501403987,0.015391974941448,0.00098423051874897,0.061320772289225,0.0826479539975571,0.0215932685155633,0.010668904033914,0.000682216609091901,0.0425043204220348,"SD_Hb_per_doubling_of_genetically_predicted_odds_of_delirium","directional_pleiotropy_sensitivity_estimator"
"APOE_excluded","reverse_relaxed_apoe_exclusion_sensitivity","Weighted mode","mr_weighted_mode",9,0.0186492569782115,0.0133806709266636,-0.00757685803804916,0.0448753719944722,0.200890774697991,0.0129266798939852,0.00927477432681731,-0.00525187778657673,0.0311052375745471,"SD_Hb_per_doubling_of_genetically_predicted_odds_of_delirium","supportive_sensitivity_estimator"
"APOE_excluded","reverse_relaxed_apoe_exclusion_sensitivity","Simple mode","mr_simple_mode",9,0.0199428767857464,0.0139608281591351,-0.00742034640615846,0.0473060999776513,0.191007574718264,0.0138233488162945,0.00967690867678641,-0.00514339219020686,0.0327900898227959,"SD_Hb_per_doubling_of_genetically_predicted_odds_of_delirium","supportive_sensitivity_estimator"
