"analysis_set","analysis_role","method","method_id","nsnp","beta","se","pval","ci_lower","ci_upper","effect_scale","nominal_p_lt_0_05","estimator_hierarchy_role"
"APOE_included","reverse_relaxed_exploratory_main","Inverse variance weighted","mr_ivw",10,-0.000560472845259953,0.00562132164350593,0.920578676260158,-0.0115782632665316,0.0104573175760117,"standardized_Hb_per_1_unit_genetically_predicted_log_odds_delirium",FALSE,"exploratory_branch_primary_estimator"
"APOE_included","reverse_relaxed_exploratory_main","Weighted median","mr_weighted_median",10,-0.00424097196757503,0.00551750502207566,0.442107385559609,-0.0150552818108433,0.00657333787569326,"standardized_Hb_per_1_unit_genetically_predicted_log_odds_delirium",FALSE,"robust_sensitivity_estimator"
"APOE_included","reverse_relaxed_exploratory_main","MR Egger","mr_egger_regression",10,-0.00542179997490411,0.010383179631501,0.615697245727216,-0.0257728320526462,0.0149292321028379,"standardized_Hb_per_1_unit_genetically_predicted_log_odds_delirium",FALSE,"directional_pleiotropy_sensitivity_estimator"
"APOE_included","reverse_relaxed_exploratory_main","Weighted mode","mr_weighted_mode",10,-0.00859343036202256,0.00568054144948893,0.164627330700907,-0.0197272916030209,0.00254043087897574,"standardized_Hb_per_1_unit_genetically_predicted_log_odds_delirium",FALSE,"supportive_sensitivity_estimator"
"APOE_included","reverse_relaxed_exploratory_main","Simple mode","mr_simple_mode",10,0.0151437263094131,0.0145800796512198,0.32606208323564,-0.0134332298069777,0.0437206824258038,"standardized_Hb_per_1_unit_genetically_predicted_log_odds_delirium",FALSE,"supportive_sensitivity_estimator"
"APOE_excluded","reverse_relaxed_apoe_exclusion_sensitivity","Inverse variance weighted","mr_ivw",9,0.0145566066936854,0.00710015149028112,0.0403466200965387,0.000640309772734379,0.0284729036146364,"standardized_Hb_per_1_unit_genetically_predicted_log_odds_delirium",TRUE,"exploratory_branch_primary_estimator"
"APOE_excluded","reverse_relaxed_apoe_exclusion_sensitivity","Weighted median","mr_weighted_median",9,0.0187509696902551,0.0100030325354706,0.0608576160692496,-0.000854974079267209,0.0383569134597775,"standardized_Hb_per_1_unit_genetically_predicted_log_odds_delirium",FALSE,"robust_sensitivity_estimator"
"APOE_excluded","reverse_relaxed_apoe_exclusion_sensitivity","MR Egger","mr_egger_regression",9,0.031152501403987,0.015391974941448,0.0826479539975571,0.00098423051874897,0.061320772289225,"standardized_Hb_per_1_unit_genetically_predicted_log_odds_delirium",FALSE,"directional_pleiotropy_sensitivity_estimator"
"APOE_excluded","reverse_relaxed_apoe_exclusion_sensitivity","Weighted mode","mr_weighted_mode",9,0.0186492569782115,0.0133806709266636,0.200890774697991,-0.00757685803804916,0.0448753719944722,"standardized_Hb_per_1_unit_genetically_predicted_log_odds_delirium",FALSE,"supportive_sensitivity_estimator"
"APOE_excluded","reverse_relaxed_apoe_exclusion_sensitivity","Simple mode","mr_simple_mode",9,0.0199428767857464,0.0139608281591351,0.191007574718264,-0.00742034640615846,0.0473060999776513,"standardized_Hb_per_1_unit_genetically_predicted_log_odds_delirium",FALSE,"supportive_sensitivity_estimator"
