"analysis_set","analysis_role","method_id","method","nsnp","beta","se","pval","ci_lower_beta","ci_upper_beta","OR","OR_lci","OR_uci"
"APOE_included","forward_primary","mr_ivw","Inverse variance weighted",312,0.0668439888152973,0.0549639338370062,0.223930553634442,-0.0408853215052349,0.174573299135829,1.06912866913263,0.959939208019326,1.19073801925413
"APOE_included","forward_primary","mr_egger_regression","MR Egger",312,-0.0110018807519385,0.106635884444696,0.917892850063629,-0.220008214263542,0.198004452759665,0.989058418600081,0.802512205888649,1.21896782158031
"APOE_included","forward_primary","mr_weighted_median","Weighted median",312,0.0343215082978287,0.09430630695433,0.715905419812207,-0.150518853332658,0.219161869928315,1.03491728774097,0.860261511058082,1.24503279374639
"APOE_included","forward_primary","mr_simple_mode","Simple mode",312,-0.0387345048521022,0.227728939584865,0.865049640833186,-0.485083226438437,0.407614216734232,0.962006083191917,0.61564595661174,1.50322712942286
"APOE_included","forward_primary","mr_weighted_mode","Weighted mode",312,0.0103998853015543,0.123637264402818,0.933018237703235,-0.231929152927969,0.252728923531077,1.01045415206826,0.793002303207866,1.2875342092977
"APOE_excluded","forward_apoe_exclusion_sensitivity","mr_ivw","Inverse variance weighted",312,0.0668673972014199,0.0551668566775348,0.225476530500178,-0.0412596418865482,0.174994436289388,1.06915369600225,0.959579950451852,1.19123958888158
"APOE_excluded","forward_apoe_exclusion_sensitivity","mr_egger_regression","MR Egger",312,-0.0118408323444155,0.106866260226647,0.911846268538893,-0.221298702388645,0.197617037699814,0.988228994436754,0.801477241365046,1.21849566655464
"APOE_excluded","forward_apoe_exclusion_sensitivity","mr_weighted_median","Weighted median",312,0.0368463360282844,0.09877699670475,0.709129484508448,-0.156756577513026,0.230449249569594,1.03753357705785,0.854912138329898,1.25916556246984
"APOE_excluded","forward_apoe_exclusion_sensitivity","mr_simple_mode","Simple mode",312,-0.0418186610592208,0.214124733051264,0.84528526038045,-0.461503137839697,0.377865815721256,0.959043676769438,0.630335451983096,1.45916713244952
"APOE_excluded","forward_apoe_exclusion_sensitivity","mr_weighted_mode","Weighted mode",312,-0.0115043014036722,0.119019231747281,0.923059315400545,-0.244781995628342,0.221773392820998,0.988561620036185,0.782875189853644,1.24828847468172
